,Medal,Beer Name,Brewery,City,State,Category,Year
1825,Gold,Black Eagle Baltic Porter,Black Tooth Brewing Co.,Sheridan,WY,Baltic-Style Porter,2013
1826,Silver,The Hammer,Rock Bottom Brewery,Broomfield,CO,Baltic-Style Porter,2013
1827,Bronze,Danzig,Devils Backbone Brewing Co. - Basecamp,Roseland,VA,Baltic-Style Porter,2013
1828,Gold,AleSmith Old Numbskull,AleSmith Brewing Co.,San Diego,CA,Barley Wine-Style Ale,2013
1829,Silver,Old Bounder,Boundary Bay Brewery,Bellingham,WA,Barley Wine-Style Ale,2013
1830,Bronze,Release the Hounds Barley Wine,Bull & Bush Brewery,Denver,CO,Barley Wine-Style Ale,2013
1831,Gold,Azreal,Devils Backbone Brewing Co. - Outpost,Lexington,VA,Belgian- and French-Style Ale,2013
1832,Silver,Grisette,Sly Fox Brewing Co.,Pottstown,PA,Belgian- and French-Style Ale,2013
1833,Bronze,California Ale,Telegraph Brewing Co.,Santa Barbara,CA,Belgian- and French-Style Ale,2013
1834,Gold,Cedar Creek Belgian Style Dubbel,Cedar Creek Brewery,Seven Points,TX,Belgian-Style Abbey Ale,2013
1835,Silver,AleSmith Decadence 2012 Quadrupel,AleSmith Brewing Co.,San Diego,CA,Belgian-Style Abbey Ale,2013
1836,Bronze,Ommegang Three Philosophers,Brewery Ommegang,Cooperstown,NY,Belgian-Style Abbey Ale,2013
1837,Gold,American Blackberry Sour Ale,New Glarus Brewing Co.,New Glarus,WI,Belgian-Style Lambic or Sour Ale,2013
1838,Silver,Squatters Fifth Element,Squatters and Wasatch Beers,Salt Lake City,UT,Belgian-Style Lambic or Sour Ale,2013
1839,Bronze,Atrial Rubicite,Jester King Brewery,Austin,TX,Belgian-Style Lambic or Sour Ale,2013
1840,Gold,Stumblin' Monk,Stewart's Brewing Co.,Bear,DE,Belgian-Style Strong Specialty Ale,2013
1841,Silver,Quad Damn It,Chicago Brewing Co.,Las Vegas,NV,Belgian-Style Strong Specialty Ale,2013
1842,Bronze,The Twelve - Belgian Quad,Black Diamond Brewing Co.,Concord,CA,Belgian-Style Strong Specialty Ale,2013
1843,Gold,Optimal Wit,Port City Brewing Co.,Alexandria,VA,Belgian-Style Witbier,2013
1844,Silver,Wasatch White Label,Utah Brewers Co-op,Salt Lake City,UT,Belgian-Style Witbier,2013
1845,Bronze,ZON,Boulevard Brewing Co.,Kansas City,MO,Belgian-Style Witbier,2013
1846,Gold,Troegenator Double Bock,Tröegs Brewing Co.,Hershey,PA,Bock,2013
1847,Silver,Andygator,Abita Brewing Co.,Abita Springs,LA,Bock,2013
1848,Bronze,Goat Rancher,SandLot,Denver,CO,Bock,2013
1849,Gold,Bohemian Pilsner,Ninkasi Brewing Co.,Eugene,OR,Bohemian-Style Pilsener,2013
1850,Silver,Czech Pilsner,"Gordon Biersch Brewery Restaurant - Rockville, MD",Broomfield,CO,Bohemian-Style Pilsener,2013
1851,Bronze,Bohemian Pilsner,Mother Earth Brewing,Kinston,NC,Bohemian-Style Pilsener,2013
1852,Gold,Old Tom Porter,Piney River Brewing Co.,Bucyrus,MO,Brown Porter,2013
1853,Silver,St. Charles Porter,Blackstone Brewing Co.,Nashville,TN,Brown Porter,2013
1854,Bronze,Blind Jake,Pinthouse Pizza,Austin,TX,Brown Porter,2013
1855,Gold,Chocolate Oak Aged Yeti Imperial Stout,Great Divide Brewing Co.,Denver,CO,Chocolate Beer,2013
1856,Silver,The Fix,Elysian Brewing Co.,Seattle,WA,Chocolate Beer,2013
1857,Bronze,Chocolate Meltdown,Pennsylvania Brewing Co.,Pittsburgh,PA,Chocolate Beer,2013
1858,Gold,5 Barrel Pale Ale,Odell Brewing Co.,Fort Collins,CO,Classic English-Style Pale Ale,2013
1859,Silver,Extra Pale Summer Ale,Dry Dock Brewing Co. - North Dock,Aurora,CO,Classic English-Style Pale Ale,2013
1860,Bronze,Breakside ESB,Breakside Brewery - Pub Brewery,Portland,OR,Classic English-Style Pale Ale,2013
1861,Gold,Blarney Sisters Dry Irish Stout,Third Street Aleworks,Santa Rosa,CA,Classic Irish-Style Dry Stout,2013
1862,Silver,Stearns Stout,Figueroa Mountain Brewing Co. - Santa Barbara,Santa Barbara,CA,Classic Irish-Style Dry Stout,2013
1863,Bronze,Dragoon's Dry Irish Stout,Moylan's Brewing Co.,Novato,CA,Classic Irish-Style Dry Stout,2013
1864,Gold,Panama Joe's Coffee Stout,Il Vicino Brewing Co.,Albuquerque,NM,Coffee Beer,2013
1865,Silver,Barrel-Aged Sump Coffee Stout,Perennial Artisan Ales,St. Louis,MO,Coffee Beer,2013
1866,Bronze,System of a Stout,Beachwood BBQ & Brewing,Long Beach,CA,Coffee Beer,2013
1867,Gold,Move Back,SandLot,Denver,CO,Dortmunder or German-Style Oktoberfest,2013
1868,Silver,Oktoberfest,Figueroa Mountain Brewing Co. - Santa Barbara,Santa Barbara,CA,Dortmunder or German-Style Oktoberfest,2013
1869,Bronze,Thunder from Dortmunder,Marble Brewery,Albuquerque,NM,Dortmunder or German-Style Oktoberfest,2013
1870,Gold,Bandit Brown,City Star Brewing,Berthoud,CO,English-Style Brown Ale,2013
1871,Silver,Sierra Blanca Nut Brown Ale,Sierra Blanca Brewing Co.,Moriarty,NM,English-Style Brown Ale,2013
1872,Bronze,Longboard Brown,Rock Bottom Brewery,Broomfield,CO,English-Style Brown Ale,2013
1873,Gold,Taproom IPA,Firestone Walker Brewing Co.,Paso Robles,CA,English-Style India Pale Ale,2013
1874,Silver,Silverspot IPA,Pelican Brewing Co.,Pacific City,OR,English-Style India Pale Ale,2013
1875,Bronze,Enterprise IPA,Dry Dock Brewing Co. - North Dock,Aurora,CO,English-Style India Pale Ale,2013
1876,Gold,S.S. Minnow Mild,Dry Dock Brewing Co. - South Dock,Aurora,CO,English-Style Mild Ale,2013
1877,Silver,Brawler,Yards Brewing Co.,Philadelphia,PA,English-Style Mild Ale,2013
1878,Bronze,Ale of Fergus,Devils Backbone Brewing Co. - Basecamp,Roseland,VA,English-Style Mild Ale,2013
1879,Gold,True Blonde Ale,Ska Brewing,Durango,CO,English-Style Summer Ale,2013
1880,Silver,Hanging Lake,Glenwood Canyon Brewing Co.,Glenwood Springs,CO,English-Style Summer Ale,2013
1881,Bronze,Sum'r,Uinta Brewing Co.,Salt Lake City,UT,English-Style Summer Ale,2013
1882,Gold,Munich Dunkel,Carver Brewing Co.,Durango,CO,European-Style Dunkel,2013
1883,Silver,Heart of Darkness Dunkel,Springfield Brewing Co.,Springfield,MO,European-Style Dunkel,2013
1884,Bronze,The Fearless Youth,Grimm Brothers Brewhouse,Loveland,CO,European-Style Dunkel,2013
1885,Gold,Hops n' Roses,Captain Lawrence Brewing Co.,Elmsford,NY,Experimental Beer,2013
1886,Silver,Dragon's Milk Reserve - Smaug's Breath,New Holland Brewing Co.,Holland,MI,Experimental Beer,2013
1887,Bronze,Redrock Paardebloem,Redrock Brewery,Salt Lake City,UT,Experimental Beer,2013
1888,Gold,Public Ale,Community Beer Co.,Dallas,TX,Extra Special Bitter,2013
1889,Silver,True Brit IPA,Summit Brewing Co.,Saint Paul,MN,Extra Special Bitter,2013
1890,Bronze,"Fed, White & Brew",American Brewing Co.,Edmonds,WA,Extra Special Bitter,2013
1891,Gold,Elektrick Cukumbahh,Trinity Brewing Co.,Colorado Springs,CO,Field Beer or Pumpkin Beer,2013
1892,Silver,Anaheim IPA,Ram Restaurant and Brewery - Indianapolis,Indianapolis,IN,Field Beer or Pumpkin Beer,2013
1893,Bronze,Splashing Pumpkin,Great South Bay Brewery,Bay Shore,NY,Field Beer or Pumpkin Beer,2013
1894,Gold,Fade to Black Volume 1,Left Hand Brewing Co.,Longmont,CO,Foreign-Style Stout,2013
1895,Silver,"Don Vanuchi ""The Killer""",Baker City Brewing Co.,Baker City,OR,Foreign-Style Stout,2013
1896,Bronze,Tsunami Stout,Pelican Brewing Co.,Pacific City,OR,Foreign-Style Stout,2013
1897,Gold,Liopard Oir Farmhouse Saison,Lavery Brewing Co.,Erie,PA,French & Belgian-Style Saison,2013
1898,Silver,Urban Farmhouse Ale,The Commons Brewery,Portland,OR,French & Belgian-Style Saison,2013
1899,Bronze,Maggie's Farmhouse Ale,Crossroads Brewing Co.,Athens,NY,French & Belgian-Style Saison,2013
1900,Gold,Cent's and Censability,Old Town Brewing Co.,Portland,OR,Fresh Hop Ale,2013
1901,Silver,Trail Head,Fat Heads Brewery,Middleburg Heights,OH,Fresh Hop Ale,2013
1902,Bronze,Fresh Hop Pallet Jack,Barley Brown's Brew Pub,Baker City,OR,Fresh Hop Ale,2013
1903,Gold,Golden Knot - Chardonnay,Blue Moon Brewing Co.,Denver,CO,Fruit Beer,2013
1904,Silver,Serendipity,New Glarus Brewing Co.,New Glarus,WI,Fruit Beer,2013
1905,Bronze,Sparkleberry Ale,Bell's Brewery,Galesburg,MI,Fruit Beer,2013
1906,Gold,Peachy Peach,Pagosa Brewing & Grill,Pagosa Springs,CO,Fruit Wheat Beer,2013
1907,Silver,Bitchin' Berry,Great Basin Brewing Co. - Reno,Reno,NV,Fruit Wheat Beer,2013
1908,Bronze,Lilikoi Kepolo,Avery Brewing Co.,Boulder,CO,Fruit Wheat Beer,2013
1909,Gold,Tree Hugger,Terrapin Beer Co.,Athens,GA,German-Style Altbier,2013
1910,Silver,Brewers Cut Altbier,Real Ale Brewing Co.,Blanco,TX,German-Style Altbier,2013
1911,Bronze,Echo Amber,Echo Brewing Co.,Frederick,CO,German-Style Altbier,2013
1912,Gold,Samuel Adams Double Bock,Samuel Adams - Cincinnati Brewery,Cincinnati‎,OH,German-Style Doppelbock or Eisbock,2013
1913,Silver,Christian Moerlein Emancipator,Christian Moerlein Brewing Co.,Cincinnati,OH,German-Style Doppelbock or Eisbock,2013
1914,Bronze,Resurrection Doppelbock,Red Lodge Ales Brewing Co.,Red Lodge,MT,German-Style Doppelbock or Eisbock,2013
1915,Gold,Leinenkugel's Canoe Paddler,Jacob Leinenkugel Brewing Co.,Chippewa Falls,WI,German-Style Kölsch,2013
1916,Silver,Tailgater Kölsch,Flat Tail Brewing Co.,Corvallis,OR,German-Style Kölsch,2013
1917,Bronze,Potential Blonde,Kinetic Brewing Co.,Lancaster,CA,German-Style Kölsch,2013
1918,Gold,Rhinofest,Lost Rhino Brewing Co.,Ashburn,VA,German-Style Märzen,2013
1919,Silver,Octoberfest,Great American Restaurants,Centreville,VA,German-Style Märzen,2013
1920,Bronze,Dogtoberfest,Flying Dog Brewery,Frederick,MD,German-Style Märzen,2013
1921,Gold,Pivo,Firestone Walker Brewing Co.,Paso Robles,CA,German-Style Pilsener,2013
1922,Silver,Pilsner,Marble Brewery,Albuquerque,NM,German-Style Pilsener,2013
1923,Bronze,Sunshine Pils,Tröegs Brewing Co.,Hershey,PA,German-Style Pilsener,2013
1924,Gold,Black Thunder,Austin Beerworks,Austin,TX,German-Style Schwarzbier,2013
1925,Silver,Black Knight,Fat Heads Brewery & Saloon,North Olmsted,OH,German-Style Schwarzbier,2013
1926,Bronze,TAPS Schwarzbier,TAPS Fish House & Brewery - Corona,Corona,CA,German-Style Schwarzbier,2013
1927,Gold,German Sparkle Party Berliner Weiss,10 Barrel Brewing Co.,Bend,OR,German-Style Sour Ale,2013
1928,Silver,Berliner Metro Weiss,Devils Backbone Brewing Co. - Basecamp,Roseland,VA,German-Style Sour Ale,2013
1929,Bronze,Passionfruit Sour,Breakside Brewery - Milwaukie Brewery,Milwaukie,OR,German-Style Sour Ale,2013
1930,Gold,Slam Dunkel,Steamworks Brewing Co.,Durango,CO,German-Style Wheat Ale,2013
1931,Silver,Bavarian Sun,Ram Restaurant and Brewery - Illinois,Wheeling,IL,German-Style Wheat Ale,2013
1932,Bronze,Saint Arnold Weedwacker,Saint Arnold Brewing Co.,Houston,TX,German-Style Wheat Ale,2013
1933,Gold,Harvester Brewing IPA No. 1,Harvester Brewing,Portland,OR,Gluten-Free Beer,2013
1934,Silver,Gluten Free,Deschutes Brewery Bend Public House,Bend,OR,Gluten-Free Beer,2013
1935,Bronze,Gluten-Free Brown Ale,New Planet Beer Co.,Boulder,CO,Gluten-Free Beer,2013
1936,Gold,Foam Top,Beachwood BBQ & Brewing,Long Beach,CA,Golden or Blonde Ale,2013
1937,Silver,Steelhead Extra Pale Ale,Mad River Brewing Co.,Blue Lake,CA,Golden or Blonde Ale,2013
1938,Bronze,Kiwanda Cream Ale,Pelican Brewing Co.,Pacific City,OR,Golden or Blonde Ale,2013
1939,Gold,Bitterama,Namaste Brewing at the Whip In,Austin,TX,Herb and Spice Beer,2013
1940,Silver,Chai Milk Stout,Yak & Yeti Restaurant & Brewpub,Arvada,CO,Herb and Spice Beer,2013
1941,Bronze,Elba,Black Star Co-op Pub and Brewery,Austin,TX,Herb and Spice Beer,2013
1942,Gold,Hop JuJu,Fat Heads Brewery,Middleburg Heights,OH,Imperial India Pale Ale,2013
1943,Silver,Permanent Funeral,Three Floyds Brewing Co.,Munster,IN,Imperial India Pale Ale,2013
1944,Bronze,Notch 9 Double IPA,Smartmouth Brewing Co.,Norfolk,VA,Imperial India Pale Ale,2013
1945,Silver,Rhino Chaser,Pizza Port Ocean Beach,Ocean Beach,CA,Imperial Red Ale,2013
1946,Bronze,Bombay Rouge Red IPA,Third Street Aleworks,Santa Rosa,CA,Imperial Red Ale,2013
1947,Gold,Ale Epeteios,Left Coast Brewing Co.,San Clemente,CA,Imperial Stout,2013
1948,Silver,Russian Imperial Stout,Iron Hill Brewery & Restaurant,Wilmington,DE,Imperial Stout,2013
1949,Bronze,Hammer and Sickle,Renegade Brewing Co.,Denver,CO,Imperial Stout,2013
1950,Gold,Vinland 2,Mystic Brewery,Chelsea,MA,Indigenous Beer,2013
1951,Silver,Sage Fight Imperial IPA,Deschutes Brewery Bend Public House,Bend,OR,Indigenous Beer,2013
1952,Bronze,Poor Richard's Tavern Spruce,Yards Brewing Co.,Philadelphia,PA,Indigenous Beer,2013
1953,Gold,Hand Truck,Baker City Brewing Co.,Baker City,OR,International-Style Pale Ale,2013
1954,Silver,Amazeballs,Peekskill Brewery,Peekskill,NY,International-Style Pale Ale,2013
1955,Bronze,IPL,AC Golden,Golden,CO,International-Style Pale Ale,2013
1956,Gold,Red Trolley Ale,Karl Strauss Brewing Co.,San Diego,CA,Irish-Style Red Ale,2013
1957,Silver,Colorado Boy Irish Ale,Colorado Boy Brewing Co.,Ridgway,CO,Irish-Style Red Ale,2013
1958,Bronze,Ragtop Red,Rock Bottom Brewery,Broomfield,CO,Irish-Style Red Ale,2013
1959,Gold,Keller Pils,Prost Brewing Co.,Denver,CO,Kellerbier or Zwickelbier,2013
1960,Silver,Surfliner Lager,Figueroa Mountain Brewing Co. - Santa Barbara,Santa Barbara,CA,Kellerbier or Zwickelbier,2013
1961,Bronze,Progress Pilsner,Market Garden Brewery,Cleveland,OH,Kellerbier or Zwickelbier,2013
1962,Gold,Helles Festbier,Hoppers Grill & Brewing Co.,Midvale,UT,Munich-Style Helles,2013
1963,Silver,Saint Arnold Summer Pils,Saint Arnold Brewing Co.,Houston,TX,Munich-Style Helles,2013
1964,Bronze,TAPS Helles,TAPS Fish House & Brewery - Brea,Brea,CA,Munich-Style Helles,2013
1965,Gold,Stagecoach Stout,Figueroa Mountain Brewing Co. - Buellton,Buellton,CA,Oatmeal Stout,2013
1966,Silver,Gold Medal Stout,Blue Corn Brewery,Santa Fe,NM,Oatmeal Stout,2013
1967,Bronze,Oats.,Pizza Port Solana Beach,Solana Beach,CA,Oatmeal Stout,2013
1968,Gold,Pilgrim's Dole,New Holland Brewing Co.,Holland,MI,Old Ale or Strong Ale,2013
1969,Silver,Irish Walker,Olde Hickory Brewery,Hickory,NC,Old Ale or Strong Ale,2013
1970,Bronze,Mule Kick,City Star Brewing,Berthoud,CO,Old Ale or Strong Ale,2013
1971,Gold,Sawtooth Ale,Left Hand Brewing Co.,Longmont,CO,Ordinary or Special Bitter,2013
1972,Silver,HMS Victory Amber,Dry Dock Brewing Co. - North Dock,Aurora,CO,Ordinary or Special Bitter,2013
1973,Bronze,Men's Room Original Red,Elysian Brewing Co.,Seattle,WA,Ordinary or Special Bitter,2013
1974,Gold,Mass Rising,Jack's Abby Brewing,Framingham,MA,Other Strong Beer,2013
1975,Silver,Power Wagon,Big Sky Brewing Co.,Missoula,MT,Other Strong Beer,2013
1976,Bronze,XX Dwarf,Detroit Beer Co.,Detroit,MI,Other Strong Beer,2013
1977,Gold,Poblano,Cigar City Brewing,Tampa,FL,Pro-Am Competition,2013
1978,Silver,Charlie's Brown,New Belgium Brewing Co.,Fort Collins,CO,Pro-Am Competition,2013
1979,Bronze,Oatmeal Stout,Upslope Brewing Co.,Boulder,CO,Pro-Am Competition,2013
1980,Gold,Poblano,Cigar City Brewing,Tampa,FL,Proam,2013
1981,Silver,Charlie's Brown,New Belgium Brewing Co.,Fort Collins,CO,Proam,2013
1982,Bronze,Oatmeal Stout,Upslope Brewing Co.,Boulder,CO,Proam,2013
1983,Gold,Moonlight Porter,Rock Bottom Brewery,Broomfield,CO,Robust Porter,2013
1984,Silver,Black Robusto Porter,Drake's Brewing Co.,San Leandro,CA,Robust Porter,2013
1985,Bronze,Genuine Oatmeal Porter,Carolina Brewery,Pittsboro,NC,Robust Porter,2013
1986,Gold,LowRyeDer,SweetWater Brewing Co.,Atlanta,GA,Rye Beer,2013
1987,Silver,Rye Smile,Triple Rock Brewery,Berkeley,CA,Rye Beer,2013
1988,Bronze,RastafaRye,Blue Point Brewing Co.,Patchogue,NY,Rye Beer,2013
1989,Gold,Wee Heavy,Dry Dock Brewing Co. - South Dock,Aurora,CO,Scotch Ale,2013
1990,Silver,Loose Lucy Scotch Ale,Seabright Brewery,Santa Cruz,CA,Scotch Ale,2013
1991,Bronze,Heritage,Bear Republic Brewing Co.,Healdsburg,CA,Scotch Ale,2013
1992,Gold,Scottish Ale,Campbell Brewing Co.,Campbell,CA,Scottish-Style Ale,2013
1993,Silver,Kilt Lifter,Four Peaks Brewing Co.,Tempe,AZ,Scottish-Style Ale,2013
1994,Bronze,Redhawk Ale,Rockyard Brewing Co.,Castle Rock,CO,Scottish-Style Ale,2013
1995,Gold,Beer Hunter,Pizza Port Ocean Beach,Ocean Beach,CA,Session Beer,2013
1996,Silver,MCA,21st Amendment Brewery,San Francisco,CA,Session Beer,2013
1997,Bronze,Torque,Kinetic Brewing Co.,Lancaster,CA,Session Beer,2013
1998,Gold,Second Hand Smoke,SandLot,Denver,CO,Smoke Beer,2013
1999,Silver,Smokin' Handsome,Yellow Springs Brewery,Yellow Springs,OH,Smoke Beer,2013
2000,Bronze,COLOSSAL TWO,Port City Brewing Co.,Alexandria,VA,Smoke Beer,2013
2001,Gold,Big Horn Hefeweizen,CB and Potts Restaurant and Brewery - Highlands Ranch,Highlands Ranch,CO,South German-Style Hefeweizen,2013
2002,Silver,Ebel's Weiss,Two Brothers Brewing Co.,Warrenville,IL,South German-Style Hefeweizen,2013
2003,Bronze,Brooklyner Weisse,Brooklyn Brewery,Brooklyn,NY,South German-Style Hefeweizen,2013
2004,Gold,Warmer,Hangar 24 Craft Brewery,Redlands,CA,Specialty Beer,2013
2005,Silver,Fate Candy Bar Milk Stout,"Fate Brewing Co. - Scottsdale, AZ",Scottsdale,AZ,Specialty Beer,2013
2006,Bronze,Pack Dog Peanut Butter Ale,Marley's Brewery & Grille,Bloomsburg,PA,Specialty Beer,2013
2007,Gold,Buzzed Bee Honey Ale,High Sierra Brewing Co.,Carson City,NV,Specialty Honey Beer,2013
2008,Silver,Midas Touch,Dogfish Head Craft Brewery,Milton,DE,Specialty Honey Beer,2013
2009,Bronze,West Bound Braggot,Twisted Pine Brewing Co.,Boulder,CO,Specialty Honey Beer,2013
2010,Gold,Milk Stout,Left Hand Brewing Co.,Longmont,CO,Sweet Stout or Cream Stout,2013
2011,Silver,Udder Love,Beachwood BBQ & Brewing,Long Beach,CA,Sweet Stout or Cream Stout,2013
2012,Bronze,Dark Lightning Milk Stout,Thunder Canyon Brewery,Tucson,AZ,Sweet Stout or Cream Stout,2013
2013,Gold,Churchville Lager,Neshaminy Creek Brewing,Croydon,PA,Vienna-Style Lager,2013
2014,Silver,Oktoberfest,Port City Brewing Co.,Alexandria,VA,Vienna-Style Lager,2013
2015,Bronze,Octoberfest,Sly Fox Brewing Co.,Pottstown,PA,Vienna-Style Lager,2013
2016,Gold,Hellshire III,Oakshire Brewing,Eugene,OR,Wood- and Barrel-Aged Beer,2013
2017,Silver,Barrel-Aged Frostbite Lager,Ram Restaurant and Brewery - Illinois,Wheeling,IL,Wood- and Barrel-Aged Beer,2013
2018,Bronze,Rum Barrel Belgian Dubbel Style Ale,Three Brothers Brewing,Harrisonburg,VA,Wood- and Barrel-Aged Beer,2013
2019,Gold,Love Child No. 3,Boulevard Brewing Co.,Kansas City,MO,Wood- and Barrel-Aged Sour Beer,2013
2020,Silver,Dark and Stormy,McKenzie Brew House,Glen Mills,PA,Wood- and Barrel-Aged Sour Beer,2013
2021,Bronze,Pentagram,Surly Brewing Co.,Brooklyn Center,MN,Wood- and Barrel-Aged Sour Beer,2013
2022,Gold,Afternoon Delight,Sun King Brewing Co.,Indianapolis,IN,Wood- and Barrel-Aged Strong Beer,2013
2023,Silver,Twisted Trace,Minneapolis Town Hall Brewery,Minneapolis,MN,Wood- and Barrel-Aged Strong Beer,2013
2024,Bronze,Barrel-Aged Full Malted Jacket,Beachwood BBQ & Brewing,Long Beach,CA,Wood- and Barrel-Aged Strong Beer,2013
2025,Gold,Blot Out the Sun,Three Floyds Brewing Co.,Munster,IN,Wood- and Barrel-Aged Strong Stout,2013
2026,Silver,Barrel-Aged Narwhal,Sierra Nevada Brewing Co.,Chico,CA,Wood- and Barrel-Aged Strong Stout,2013
2027,Bronze,Barrel Aged BORIS The Crusher,Hoppin' Frog Brewing Co.,Akron,OH,Wood- and Barrel-Aged Strong Stout,2013
2028,Gold,2010 Old Trainwreck Barleywine,Silver Moon Brewing,Bend,OR,Aged Beer,2012
2029,Silver,2004 Triple Exultation,Eel River Brewing Co.,Fortuna,CA,Aged Beer,2012
2030,Bronze,Lovely Cherry Baltic Porter,Bend Brewing Co.,Bend,OR,Aged Beer,2012
2031,Gold,Le Freak,Green Flash Brewing Co.,San Diego,CA,American-Belgo-Style Ale,2012
2032,Silver,Chainbreaker WIPA,Deschutes Brewery,Bend,OR,American-Belgo-Style Ale,2012
2033,Bronze,A Little Crazy,Revolution Brewing,Chicago,IL,American-Belgo-Style Ale,2012
2034,Gold,Point Oktoberfest,Stevens Point Brewery,Stevens Point,WI,American-Style Amber Lager,2012
2035,Silver,Staghorn Octoberfest,New Glarus Brewing Co.,New Glarus,WI,American-Style Amber Lager,2012
2036,Bronze,Uberbrau,Humperdinks Restaurant and Brewery,Dallas,TX,American-Style Amber Lager,2012
2037,Gold,Hopback Amber Ale,Tröegs Brewing Co.,Hershey,PA,American-Style Amber/Red Ale,2012
2038,Silver,Fixed Gear American Red Ale,Lakefront Brewery,Milwaukee,WI,American-Style Amber/Red Ale,2012
2039,Bronze,Winterhook,Redhook Brewery Woodinville,Woodinville,WA,American-Style Amber/Red Ale,2012
2040,Gold,Wookey Jack,Firestone Walker Brewing Co.,Paso Robles,CA,American-Style Black Ale,2012
2041,Silver,Turmoil,Barley Brown's Brew Pub,Baker City,OR,American-Style Black Ale,2012
2042,Bronze,Black IPA,Iron Hill Brewery & Restaurant - Wilmington,Wilmington,DE,American-Style Black Ale,2012
2043,Gold,Seizoen Bretta,Logsdon Farmhouse Ales,Hood River,OR,American-Style Brett Ale,2012
2044,Silver,Flemish Kiss,The Commons Brewery,Portland,OR,American-Style Brett Ale,2012
2045,Bronze,TPS Report,Trinity Brewing Co.,Colorado Springs,CO,American-Style Brett Ale,2012
2046,Gold,Face Down Brown,Telluride Brewing Co.,Telluride,CO,American-Style Brown Ale,2012
2047,Silver,Upslope Brown Ale,Upslope Brewing Co.,Boulder,CO,American-Style Brown Ale,2012
2048,Bronze,Redrock Nut Brown Ale,Redrock Brewing Co.,Salt Lake City,UT,American-Style Brown Ale,2012
2049,Gold,Shiner Bock,Spoetzl Brewery,Shiner,TX,American-Style Dark Lager,2012
2050,Silver,Old Virginia Dark,Devils Backbone Brewing Co. - Basecamp,Roseland,VA,American-Style Dark Lager,2012
2051,Bronze,Session Black Premium Dark Lager,Full Sail Brewing Co.,Hood River,OR,American-Style Dark Lager,2012
2052,Gold,IPA,Tap It Brewing Co.,San Luis Obispo,CA,American-Style India Pale Ale,2012
2053,Silver,Pallet Jack IPA,Barley Brown's Brew Pub,Baker City,OR,American-Style India Pale Ale,2012
2054,Bronze,Duet,Alpine Beer Co.,Alpine,CA,American-Style India Pale Ale,2012
2055,Gold,Pabst Blue Ribbon,Pabst Brewing Co.,Los Angeles,CA,"American-Style Lager, Light Lager or Premium Lager",2012
2056,Silver,Miller Lite,Miller Brewing Co.,Milwaukee,WI,"American-Style Lager, Light Lager or Premium Lager",2012
2057,Bronze,Keystone Light,Coors Brewing Co.,Golden,CO,"American-Style Lager, Light Lager or Premium Lager",2012
2058,Gold,Gold Country Pilsner,Auburn Alehouse,Auburn,CA,American-Style or International-Style Pilsener,2012
2059,Silver,Redhook Pilsner,Redhook Brewery Woodinville,Woodinville,WA,American-Style or International-Style Pilsener,2012
2060,Bronze,Gold Leaf Lager,Devils Backbone Brewing Co. - Outpost,Lexington,VA,American-Style or International-Style Pilsener,2012
2061,Gold,Brickstone APA,Brickstone Brewery,Bourbonnais,IL,American-Style Pale Ale,2012
2062,Silver,The Weight,Piece Brewery,Chicago,IL,American-Style Pale Ale,2012
2063,Bronze,Zombie Dust,Three Floyds Brewing Co.,Munster,IN,American-Style Pale Ale,2012
2064,Gold,Barrel Select - Gold,Captain Lawrence Brewing Co.,Elmsford,NY,American-Style Sour Ale,2012
2065,Silver,Red Poppy,The Lost Abbey,San Marcos,CA,American-Style Sour Ale,2012
2066,Bronze,Fitger's Framboise,Fitger's Brewhouse,Duluth,MN,American-Style Sour Ale,2012
2067,Gold,Henry Weinhard's Blue Boar Pale Ale,Blitz-Weinhard Brewing,Hood River,OR,American-Style Specialty Lager or Cream Ale or Lager,2012
2068,Silver,Old Style,Pabst Brewing Co.,Los Angeles,CA,American-Style Specialty Lager or Cream Ale or Lager,2012
2069,Bronze,Mickey's Malt Liquor,Miller Brewing Co.,Milwaukee,WI,American-Style Specialty Lager or Cream Ale or Lager,2012
2070,Gold,Order in the Port,Pizza Port San Clemente,San Clemente,CA,American-Style Stout,2012
2071,Silver,American Stout,10 Barrel Brewing Co.,Bend,OR,American-Style Stout,2012
2072,Bronze,Ironman,Free State Brewing Co.,Lawrence,KS,American-Style Stout,2012
2073,Gold,Melvin,Thai Me Up Brewery,Jackson,WY,American-Style Strong Pale Ale,2012
2074,Silver,Lumberyard IPA,Lumberyard Brewing Co.,Flagstaff,AZ,American-Style Strong Pale Ale,2012
2075,Bronze,Laughing Dog IPA,Laughing Dog Brewing,Ponderay,ID,American-Style Strong Pale Ale,2012
2076,Gold,Wagon Box Wheat,Black Tooth Brewing Co.,Sheridan,WY,American-Style Wheat Beer,2012
2077,Silver,Shredders Wheat,Barley Brown's Brew Pub,Baker City,OR,American-Style Wheat Beer,2012
2078,Bronze,American Wheat,Gella's Diner and Lb. Brewing Co.,Hays,KS,American-Style Wheat Beer,2012
2079,Gold,MBC Wheat Ale,Montana Brewing Co.,Billings,MT,American-Style Wheat Beer with Yeast,2012
2080,Silver,Tumblewheat,Altitude Chophouse and Brewery,Laramie,WY,American-Style Wheat Beer with Yeast,2012
2081,Bronze,Wrangler Wheat,Figueroa Mountain Brewing Co.,Buellton,CA,American-Style Wheat Beer with Yeast,2012
