,Medal,Beer Name,Brewery,City,State,Category,Year
53,Gold,Junebug,Echo Brewing Co.,Erie,CO,Belgian- and French-Style Ale,2019
54,Silver,Swingin' Single,Piece Brewery,Chicago,IL,Belgian- and French-Style Ale,2019
55,Bronze,Industrial Gris,Resident Brewing Co.,San Diego,CA,Belgian- and French-Style Ale,2019
56,Gold,Nènette,Kern River Brewing Co. - The Backyard,Kernville,CA,Belgian-Style Blonde Ale or Pale Ale,2019
57,Silver,Hell's Keep,Squatters Craft Beers,Salt Lake City,UT,Belgian-Style Blonde Ale or Pale Ale,2019
58,Bronze,Suddenly a Saint,Moonraker Brewing Co.,Auburn,CA,Belgian-Style Blonde Ale or Pale Ale,2019
59,Gold,Quad Damn It,Chicago Brewing Co. - Las Vegas,Las Vegas,NV,Belgian-Style Dark Strong Ale or Belgian-Style Quadrupel,2019
60,Silver,Séréneté Grand Cru,Bruz Beers,Denver,CO,Belgian-Style Dark Strong Ale or Belgian-Style Quadrupel,2019
61,Bronze,Sisters Quad,Bitter Sisters Brewing Co.,Addison,TX,Belgian-Style Dark Strong Ale or Belgian-Style Quadrupel,2019
62,Gold,Dedication,Vintage Brewing Co. - Madison,Madison,WI,Belgian-Style Dubbel,2019
63,Silver,Belgian Dubbel,Sugar Creek Brewing Co.,Charlotte,NC,Belgian-Style Dubbel,2019
64,Bronze,OB Bubble Dubbel,Kilowatt Brewing,San Diego,CA,Belgian-Style Dubbel,2019
65,Gold,Foxy Lady,Silver City Brewery,Bremerton,WA,Belgian-Style Fruit Beer,2019
66,Silver,All the Goodness,Gezellig Brewing Co.,Newton,IA,Belgian-Style Fruit Beer,2019
67,Bronze,Cherry Valley Farmhouse,Heritage Hill Brewhouse & Kitchen,Pompey,NY,Belgian-Style Fruit Beer,2019
68,Gold,Get The Funk Out,Crooked Stave Artisan Beer Project,Denver,CO,Belgian-Style Lambic or Sour Ale,2019
69,Silver,Olly,Free Will Brewing Co.,Perkasie,PA,Belgian-Style Lambic or Sour Ale,2019
70,Bronze,Saison Apothēca,Yeast of Eden,Carmel-By-The-Sea,CA,Belgian-Style Lambic or Sour Ale,2019
71,Gold,Fu Fighter,Good River Beer,Denver,CO,Belgian-Style Pale Strong Ale,2019
72,Silver,Sandy Dunes Saison,River Bluff Brewing,St. Joseph,MO,Belgian-Style Pale Strong Ale,2019
73,Bronze,Stay Gold,Bluebird Brasserie,Sherman Oaks,CA,Belgian-Style Pale Strong Ale,2019
74,Gold,Princeps Pacis,Save The World Brewing Co.,Marble Falls,TX,Belgian-Style Tripel,2019
75,Silver,Marvella,Red Rock Brewery - Production,Salt Lake City,UT,Belgian-Style Tripel,2019
76,Bronze,Triple-Whirl,217 Brew Works,Wilson,NC,Belgian-Style Tripel,2019
77,Gold,Way West Wit,Zuni Street Brewing Co.,Denver,CO,Belgian-Style Witbier,2019
78,Silver,Boeman Belgian White,Ogopogo Brewing,San Gabriel,CA,Belgian-Style Witbier,2019
79,Bronze,Under a Blood Orange Sky,Temblor Brewing Co.,Bakersfield,CA,Belgian-Style Witbier,2019
80,Gold,Tackle Bock,Bobbing Bobber Brewing Co.,Hutchinson,MN,Bock,2019
81,Silver,Maibock,Dry Dock Brewing Co. - South Dock,Aurora,CO,Bock,2019
82,Bronze,Dunkel Bock,Pilot Brewing Co.,Charlotte,NC,Bock,2019
83,Gold,Bohemian Shine,Castle Island Brewing Co.,Norwood,MA,Bohemian-Style Pilsener,2019
84,Silver,Bo Pils,East Brother Beer Co.,Richmond,CA,Bohemian-Style Pilsener,2019
85,Bronze,The People's Pilsner,Sudwerk Brewing Co.,Davis,CA,Bohemian-Style Pilsener,2019
86,Gold,Who's Brett?,The Hold By Revelry Brewing,Charleston,SC,Brett Beer,2019
87,Silver,St. Eldritch,Cellar Works Brewing Co.,Sarver,PA,Brett Beer,2019
88,Bronze,C'Mon Sunshine,Birds Fly South Ale Project,Greenville,SC,Brett Beer,2019
89,Gold,Maduro Brown Ale,Cigar City Brewing,Tampa,FL,Brown Porter,2019
90,Silver,Brown Claw,Kern River Brewing Co. - The Backyard,Kernville,CA,Brown Porter,2019
91,Bronze,Honey Porter,Cape May Brewing Co. - Rio Grande,Cape May,NJ,Brown Porter,2019
92,Gold,Jalapeno Pineapple Pils,Brickway Brewery & Distillery,Omaha,NE,Chili Beer,2019
93,Silver,Bringin' Da Heat,Devil's Creek Brewery,Collingswood,NJ,Chili Beer,2019
94,Bronze,Oyster Jalapeno Porter,Bull Island Brewing Co.,Hampton,VA,Chili Beer,2019
95,Gold,Old Balltown Bulleit Bourbon Barrel Aged Salted Caramel Dark Chocolate Brownie Milk Stout,PIVO Brewery,Calmar,IA,Chocolate Beer,2019
96,Silver,**Contains Chocolate**,Corporate Ladder Brewing Co.,Palmetto,FL,Chocolate Beer,2019
97,Bronze,Somebody Else's Dream,Fort Myers Brewing Co.,Fort Myers,FL,Chocolate Beer,2019
98,Gold,SeaSide Stout,Pizza Port - Solana Beach,Solana Beach,CA,Classic Irish-Style Dry Stout,2019
99,Silver,Shooter McMunn's,Lost Rhino Brewing Co.,Ashburn,VA,Classic Irish-Style Dry Stout,2019
100,Bronze,O'Dark Thirty,6 Bears & A Goat Brewing Co.,Fredericksburg,VA,Classic Irish-Style Dry Stout,2019
101,Gold,Meadowlark,Metazoa Brewing Co.,Indianapolis,IN,Classic Saison,2019
102,Silver,Summer Opal,Firestone Walker - The Propagator,Marina Del Rey,CA,Classic Saison,2019
103,Bronze,Gray Matter,Aspetuck Brew Lab,Bridgeport,CT,Classic Saison,2019
104,Gold,Duluth Coffee Pale Ale,Earth Rider Brewery,Superior,WI,Coffee Beer,2019
105,Silver,Clear Sky Daybreak,Wolf's Ridge Brewing,Columbus,OH,Coffee Beer,2019
106,Bronze,Central Perk,Ambitious Ales,Long Beach,CA,Coffee Beer,2019
107,Gold,There is No Cow Level,GameCraft Brewing,Laguna Hills,CA,Coffee Stout or Porter,2019
108,Silver,Portola Breakfast Stout,Tustin Brewing Co.,Tustin,CA,Coffee Stout or Porter,2019
109,Bronze,White Russian,SunUp Brewing Co.,Phoenix,AZ,Coffee Stout or Porter,2019
110,Gold,Getting By on Central Time,Sun King Brewery,Indianapolis,IN,Collab,2019
111,Silver,Are You Pricklish?,Taft’s Brewing Co.,Louisville,KY,Collab,2019
112,Bronze,Willie Big Dog,Public Coast Brewing Company,Canon Beach,OR,Collab,2019
113,Gold,Lazy River Pils,New Trail Brewing Co.,Williamsport,PA,Contemporary American-Style Pilsener,2019
114,Silver,Citra Pils,Saint Archer Brewing Co.,San Diego,CA,Contemporary American-Style Pilsener,2019
115,Bronze,Citraveza,Alvarado Street Brewery,Salinas,CA,Contemporary American-Style Pilsener,2019
116,Gold,Cruise to Nowhere,Town Brewing Co.,Charlotte,NC,Contemporary Gose,2019
117,Silver,Mimosa Gose,Pilot Brewing Co.,Charlotte,NC,Contemporary Gose,2019
118,Bronze,Galactic Minotaurt,True Vine Brewing Co.,Tyler,TX,Contemporary Gose,2019
119,Gold,Schnitzengiggles,New England Brewing Co.,Woodbridge,CT,Dortmunder or German-Style Oktoberfest,2019
120,Silver,Lindauer Lager,Wit's End Brewing Co.,Denver,CO,Dortmunder or German-Style Oktoberfest,2019
121,Bronze,Chuckanut Fest Bier,Chuckanut Brewery - South Nut,Burlington,WA,Dortmunder or German-Style Oktoberfest,2019
122,Gold,Station 101,Claremont Craft Ales,Claremont,CA,Double Hoppy Red Ale,2019
123,Silver,Side Hike,Kern River Brewing Co.,Kernville,CA,Double Hoppy Red Ale,2019
124,Bronze,Cannon Ball,Migration Brewing Co. - Glisan,Portland,OR,Double Hoppy Red Ale,2019
125,Gold,Pure Tropics,Parish Brewing Co.,Broussard,LA,Emerging India Pale Ale,2019
126,Silver,Vladimir Brutin,Cannonball Creek Brewing Co.,Golden,CO,Emerging India Pale Ale,2019
127,Gold,Bobcat Brown Ale,Bridger Brewing,Bozeman,MT,English-Style Brown Ale,2019
128,Silver,Eclipse Brown Ale,Equinox Brewing,Fort Collins,CO,English-Style Brown Ale,2019
129,Bronze,Mischievous Brown,Helltown Brewing,Export,PA,English-Style Brown Ale,2019
130,Gold,Hop'lin IPA,Southbound Brewing Co.,Savannah,GA,English-Style India Pale Ale,2019
